System Info:
Linux kali 6.12.25-amd64 #1 SMP PREEMPT_DYNAMIC Kali 6.12.25-1kali1 (2025-04-30) x86_64 GNU/Linux
User:
luci
Processes:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  24660 15440 ?        Ss   02:30   0:27 /usr/lib/systemd/systemd --system --deserialize=59 splash
root         846  0.0  0.1  19128  9136 ?        Ss   02:30   0:03 /usr/lib/systemd/systemd-logind
root         923  0.0  0.3 336428 19440 ?        Ssl  02:30   0:20 /usr/sbin/NetworkManager --no-daemon
root         938  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-rpciod]
root         941  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-xprtiod]
root         947  0.0  0.0   6864  2772 ?        Ss   02:30   0:00 /usr/sbin/cron -f
root         983  0.0  0.1 317196 11988 ?        Ssl  02:30   0:00 /usr/sbin/ModemManager
root        1142  0.2  0.4 512708 30108 ?        Ssl  02:30   1:20 /usr/bin/python3 /usr/bin/fail2ban-server -xf start
root        1173  0.0  0.1 310524  8444 ?        Ssl  02:30   0:01 /usr/sbin/gdm3
root        1210  0.0  0.0  25408  3576 ?        Sl   02:30   0:07 /var/ossec/bin/wazuh-execd
wazuh       1220  0.1  0.1 247340  8656 ?        Sl   02:30   0:56 /var/ossec/bin/wazuh-agentd
root        1248  0.4  0.2 347052 13744 ?        SNl  02:30   2:34 /var/ossec/bin/wazuh-syscheckd
root        1266  0.1  0.2 682864 15932 ?        Sl   02:30   0:35 /var/ossec/bin/wazuh-logcollector
root        1302  0.0  0.4 878844 28472 ?        Sl   02:30   0:29 /var/ossec/bin/wazuh-modulesd
rtkit       1344  0.0  0.0  21472  3036 ?        SNsl 02:31   0:03 /usr/libexec/rtkit-daemon
colord      2209  0.0  0.2 315988 13924 ?        Ssl  02:31   0:00 /usr/libexec/colord
root        2548  0.0  0.1 318636  9936 ?        Ssl  02:32   0:00 /usr/libexec/upowerd
root        2771  0.0  0.1 552248  8080 ?        Ssl  02:32   0:01 /usr/sbin/pcscd --foreground --auto-exit
root        2909  0.0  0.1 309164  7012 ?        Ssl  02:32   0:00 /usr/libexec/power-profiles-daemon
root        3174  0.0  0.1  17508  6644 ?        Ss   02:32   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        3386  0.0  0.1 385896 10704 ?        Sl   02:32   0:00 gdm-session-worker [pam/gdm-password]
luci        3565  0.0  0.2  23024 13584 ?        Ss   02:32   0:08 /usr/lib/systemd/systemd --user --deserialize=29
luci        3567  0.0  0.0  23444  3772 ?        S    02:32   0:00 (sd-pam)
